rank,covergroup,plan_id,ledger,bins_referenced,coverpoints_referenced,coverpoints,manifests,manifest_bins,manifests_completed_at_this_rank,plan_anchor
1,gen_mul_ops_cg,CG-MUL-001,no,361,15,cp_funct3 (4); cp_op (5); cp_rd_x0 (2); cp_result_class (9); cp_rs1_class (9); cp_rs2_class (9); cp_same_regs (4); cp_sign_pair (4); cr_extremes (245); cr_funct3_rd_x0 (8); cr_op_rd_x0 (9); cr_op_rs1 (18); cr_op_rs2 (9); cr_op_same (6); cr_op_sign (20),3,gen_test_cmp_zcb (23); gen_test_mul_div (28); gen_test_mul_mul (327),-,gen_fcov_plan.md:529 ### CG-MUL-001: gen_cg_mul_ops
2,gen_bit_zba_zbb_ops_cg,CG-BIT-001,no,350,16,cp_eq_operands (2); cp_op (16); cp_rd_x0 (2); cp_result_class (2); cp_rs1_class (10); cp_rs2_class (7); cp_same_regs (3); cp_sign_pair (4); cp_wrap (2); cr_minmax_sign (16); cr_op_eq (26); cr_op_rd_x0 (32); cr_op_rs1 (110); cr_op_rs2 (70); cr_op_same (42); cr_shadd_wrap (6),1,gen_test_bit_ratified (350),-,gen_fcov_plan.md:824 ### CG-BIT-001: gen_cg_bit_zba_zbb_ops
3,gen_isa_alu_reg_cg,CG-ISA-002,no,340,17,cp_eq_operands (2); cp_op (7); cp_rd_x0 (2); cp_result_class (6); cp_rs1_class (7); cp_rs2_class (7); cp_same_regs (5); cp_sign_pair (4); cp_wrap (6); cr_op_eq (14); cr_op_rd_x0 (14); cr_op_rs1 (49); cr_op_rs2 (49); cr_op_same (35); cr_op_sign (28); cr_slt_boundary (98); cr_wrap (7),1,gen_test_isa_alu (340),-,gen_fcov_plan.md:341 ### CG-ISA-002: gen_cg_isa_alu_reg
4,gen_cmp_zcmp_pushpop_cg,CG-CMP-006,no,250,13,cp_insn (4); cp_minstret_once (1); cp_order_ok (1); cp_ret_align (3); cp_rlist (12); cp_rvfi_tags_ok (1); cp_spimm (4); cp_stack_adj (7); cp_uop_count_ok (1); cr_insn_delay (16); cr_insn_rlist_spimm (192); cr_popret_r4 (2); cr_ret_align (6),1,gen_test_cmp_zcmp_basic (250),-,gen_fcov_plan.md:715 ### CG-CMP-006: gen_cg_cmp_zcmp_pushpop
5,gen_cmp_zca_cg,CG-CMP-001,no,207,10,cp_insn (26); cp_insn32_straddle (2); cp_next_len (2); cp_pc_align (2); cp_pc_inc (1); cp_rd_full (5); cr_insn_align (52); cr_insn_next (52); cr_insn_rdfull (25); cr_insn_reg3 (40),1,gen_test_cmp_zca (207),-,gen_fcov_plan.md:628 ### CG-CMP-001: gen_cg_cmp_zca
6,gen_bit_count_cg,CG-BIT-002,no,199,9,cp_op (3); cp_operand (9); cp_rd_x0 (2); cp_result (6); cp_single_pos (32); cr_op_operand (27); cr_op_rd_x0 (6); cr_op_result (18); cr_op_single (96),1,gen_test_bit_ratified (199),-,gen_fcov_plan.md:847 ### CG-BIT-002: gen_cg_bit_count
7,gen_div_ops_cg,CG-MUL-003,no,166,12,cp_dividend (9); cp_divisor (10); cp_op (4); cp_rd_x0 (2); cp_result_class (6); cp_sign_pair (4); cr_div0 (36); cr_op_dividend (27); cr_op_divisor (40); cr_op_rd_x0 (8); cr_op_sign (16); cr_overflow (4),1,gen_test_mul_div (166),-,gen_fcov_plan.md:569 ### CG-MUL-003: gen_cg_div_ops
8,gen_cmp_zcmp_mv_cg,CG-CMP-007,no,162,12,cp_b2b (3); cp_equal (2); cp_hazard_src (3); cp_insn (2); cp_r1s (8); cp_r2s (8); cp_src_values (2); cp_uop_count_ok (1); cr_insn_b2b (4); cr_insn_equal (3); cr_insn_hazard (6); cr_insn_r1_r2 (120),1,gen_test_cmp_zcmp_basic (162),-,gen_fcov_plan.md:742 ### CG-CMP-007: gen_cg_cmp_zcmp_mv
9,gen_pmp_cfg_write_cg,CG-PMP-001,no,154,19,cp_entry (16); cp_mml (2); cp_op (3); cp_outcome (4); cp_prelock (2); cp_res_bits (2); cp_rlb (2); cp_word_lockmix (3); cp_wr_lrwx (16); cp_wr_mode (4); cr_lock_outcome (4); cr_lockmix_op (3); cr_mml_exec_suppress (8); cr_mml_nonexec_accept (4); cr_mode_lrwx (64); cr_prelock_wrl (6); cr_res_op (3); cr_rw01_mml (4); cr_suppress_mode (4),3,gen_test_pmp_csr_warl (117); gen_test_pmp_lock (20); gen_test_pmp_mseccfg (19),-,gen_fcov_plan.md:2413 ### CG-PMP-001: gen_cg_pmp_cfg_write
10,gen_csr_trap_setup_warl_cg,CG-CSR-002,no,152,20,cp_csr (6); cp_mie_w (5); cp_mpp_w (4); cp_mst_mie_w (1); cp_mst_mpie_w (2); cp_mst_mprv_w (1); cp_mst_tw_w (1); cp_mtvec_base_w (4); cp_mtvec_lo_w (2); cp_mtvec_mode_w (4); cp_op (6); cp_rd (2); cp_wpat (6); cr_csr_op (36); cr_csr_wpat (30); cr_mie_w_op (11); cr_mpp_op (8); cr_mst_fields (8); cr_mtvec_base_op (7); cr_mtvec_mode_lo (8),2,gen_test_csr_access (4); gen_test_csr_trap_setup (151),-,gen_fcov_plan.md:1216 ### CG-CSR-002: gen_cg_csr_trap_setup_warl
